feature,total,total_diff
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,22381.0,9.0
f301_NUM_INSTALMENT_ratio_std-d-mean,22378.0,4.0
f001_AMT_CREDIT-d-CNT_FAM_MEMBERS,22378.0,44.0
f301_days_weighted_delay_sum,22377.0,7.0
f001_OWN_CAR_AGE-d-DAYS_BIRTH,22374.0,12.0
f706_2,22374.0,10.0
f308_cas_DAYS_INSTALMENT_pctchange_var,22374.0,26.0
f706_24,22373.0,31.0
f303_days_weighted_delay_max,22371.0,1.0
f705_3,22364.0,38.0
f001_TOTALAREA_MODE,22359.0,9.0
f706_23,22358.0,28.0
f505_Active_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_sum,22356.0,6.0
f510_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT,22355.0,23.0
f509_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE,22355.0,1.0
f405_CNT_DRAWINGS_CURRENT_std,22351.0,37.0
f510_SK_ID_BUREAU,22349.0,25.0
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,22348.0,20.0
f509_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT,22347.0,9.0
f706_0,22344.0,2.0
f707_2,22332.0,34.0
f706_5,22329.0,25.0
f002_WEEKDAY_APPR_PROCESS_START,22328.0,8.0
f108_NAME_TYPE_SUITE,22327.0,25.0
f602_Active_CURR-BUREAU_cnt_var,22325.0,13.0
f507_Active_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,22325.0,39.0
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_min,22320.0,20.0
f505_Active_AMT_CREDIT_MAX_OVERDUE_sum,22320.0,40.0
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,22318.0,72.0
f001_NEW_CAR_TO_BIRTH_RATIO,22315.0,33.0
f001_OWN_CAR_AGE-m-DAYS_BIRTH,22314.0,8.0
f308_delay_cons_days_weighted_delay_tsw3_diff_var,22313.0,65.0
f106_CODE_REJECT_REASON-XAP,22309.0,37.0
f706_9,22309.0,15.0
f302_notdelay_NUM_INSTALMENT_ratio_max,22307.0,29.0
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,22307.0,27.0
f706_18,22300.0,58.0
f001_DAYS_REGISTRATION-m-DAYS_BIRTH,22296.0,26.0
f402_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,22294.0,20.0
f302_days_weighted_delay_max-d-min,22291.0,3.0
f305_con_NUM_INSTALMENT_ratio_std-d-mean,22290.0,30.0
f708_0,22289.0,41.0
f706_15,22288.0,30.0
f707_9,22287.0,57.0
f505_Active_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_max-d-min,22286.0,26.0
f706_3,22285.0,67.0
f201_CNT_INSTALMENT_FUTURE_pctchange_std-d-mean,22284.0,8.0
f505_Active_DAYS_CREDIT-m-app_DAYS_BIRTH_sum,22282.0,26.0
f707_23,22281.0,3.0
f205_CNT_INSTALMENT_FUTURE_pctchange_mean,22280.0,16.0
f301_delay_DAYS_ENTRY_PAYMENT_mean,22279.0,49.0
f707_1,22277.0,67.0
f001_OWN_CAR_AGE-m-DAYS_EMPLOYED,22276.0,12.0
f501_AMT_CREDIT_MAX_OVERDUE_max,22275.0,7.0
f501_DAYS_ENDDATE_FACT-m-app_DAYS_ID_PUBLISH_std-d-mean,22274.0,34.0
f112_refused_AMT_CREDIT-d-total_debt_max,22271.0,5.0
f706_10,22269.0,31.0
f306_cons_DEP_diff_var,22268.0,42.0
f501_DAYS_CREDIT_UPDATE_diff_std-d-mean,22268.0,6.0
f509_AMT_CREDIT_SUM,22267.0,43.0
f510_AMT_CREDIT_SUM,22267.0,23.0
f705_0,22267.0,25.0
f015_EXT_SOURCE_2,22266.0,94.0
f505_Active_DAYS_CREDIT_UPDATE_diff_std-d-mean,22265.0,67.0
f001_DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,22257.0,41.0
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_std-d-mean,22256.0,6.0
f707_17,22254.0,64.0
f706_21,22250.0,66.0
f401_AMT_TOTAL_RECEIVABLE-m-AMT_RECEIVABLE_PRINCIPAL_diff_mean,22250.0,18.0
f301_days_weighted_delay_max-d-min,22250.0,54.0
f101_active_AMT_GOODS_PRICE-d-total_debt_mean,22250.0,66.0
f312_days_delayed_payment_pctchange_var,22248.0,24.0
f510_AMT_CREDIT_SUM-d-app_AMT_CREDIT,22248.0,42.0
f308_cons_days_weighted_delay_tsw3_diff_mean,22247.0,119.0
f706_22,22246.0,60.0
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,22243.0,23.0
f101_active_AMT_GOODS_PRICE-d-total_debt_min,22232.0,94.0
f706_17,22231.0,39.0
f501_AMT_CREDIT_MAX_OVERDUE_mean,22228.0,26.0
f705_2,22227.0,7.0
f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,22225.0,3.0
f707_15,22224.0,32.0
f001_AMT_GOODS_PRICE-m-AMT_CREDIT-d-AMT_INCOME_TOTAL,22223.0,61.0
f707_7,22219.0,7.0
f310_delay_days_weighted_delay_mean,22218.0,20.0
f705_6,22218.0,36.0
f501_DAYS_CREDIT_UPDATE_std-d-mean,22216.0,28.0
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,22214.0,38.0
f505_Closed_AMT_CREDIT_SUM-d-app_AMT_CREDIT_sum,22211.0,25.0
f109_AMT_CREDIT-d-total_debt,22210.0,86.0
f001_YEARS_BEGINEXPLUATATION_MEDI,22207.0,33.0
f707_4,22207.0,27.0
f205_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_std-d-mean,22205.0,53.0
f707_19,22205.0,45.0
f101_nyg-high_AMT_GOODS_PRICE-d-total_debt_mean,22200.0,0.0
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_std-d-mean,22199.0,17.0
f303_days_weighted_delay_sum,22198.0,48.0
f707_12,22187.0,19.0
f510_AMT_CREDIT_SUM-d-app_AMT_GOODS_PRICE,22186.0,50.0
f310_days_weighted_delay_max,22184.0,6.0
f106_NAME_PRODUCT_TYPE-XNA,22183.0,25.0
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_sum,22181.0,121.0
f001_DAYS_ID_PUBLISH-m-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_REGISTRATION,22180.0,48.0
f001_EXT_SOURCES_1-2-3,22178.0,36.0
f505_Active_AMT_CREDIT_MAX_OVERDUE_max,22176.0,32.0
f507_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,22174.0,58.0
f706_16,22170.0,24.0
f507_Active_DAYS_CREDIT-m-app_DAYS_BIRTH_sum,22166.0,56.0
f705_1,22164.0,24.0
f301_notdelay_NUM_INSTALMENT_ratio_std,22162.0,56.0
f205_SK_DPD_std-d-mean,22161.0,7.0
f706_7,22160.0,4.0
f707_22,22157.0,39.0
f001_DAYS_REGISTRATION-m-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-m-DAYS_EMPLOYED,22156.0,56.0
f509_SK_ID_BUREAU,22151.0,43.0
f405_AMT_TOTAL_RECEIVABLE-m-AMT_RECEIVABLE_PRINCIPAL_pctchange_std-d-mean,22151.0,3.0
f101_completed_AMT_ANNUITY-d-app_AMT_ANNUITY_mean,22150.0,10.0
f401_CNT_DRAWINGS_CURRENT_diff_diff_mean,22149.0,103.0
f312_days_weighted_delay_diff_mean,22148.0,22.0
f105_prevapp_future_payment_28m,22147.0,55.0
f401_CNT_DRAWINGS_POS_CURRENT_diff_diff_mean,22144.0,32.0
f101_approved_DAYS_LAST_DUE-d-app_DAYS_BIRTH_max-d-min,22141.0,31.0
f332_notdelay_DAYS_ENTRY_PAYMENT-m-app_DAYS_ID_PUBLISH_std-d-mean,22137.0,21.0
f707_13,22137.0,41.0
f002_WALLSMATERIAL_MODE,22135.0,35.0
f509_DAYS_CREDIT_ENDDATE-d-app_DAYS_EMPLOYED,22132.0,2.0
f707_3,22132.0,82.0
f706_8,22129.0,75.0
f501_DAYS_ENDDATE_FACT-m-DAYS_CREDIT_ENDDATE_mean,22127.0,3.0
f104_completed_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_max,22117.0,21.0
f105_amt_unpaid_sum-p-app-d-income,22115.0,37.0
f109_SELLERPLACE_AREA,22114.0,8.0
f310_notdelay_NUM_INSTALMENT_ratio_max,22112.0,44.0
