feature,split,gain
f001_EXT_SOURCES_mean,578,151598.75353956223
f702_prev_y_mean,227,51637.56252002716
f702_prev_y_max,265,50715.62846851349
f002_ORGANIZATION_TYPE,2223,37018.00570297241
f001_EXT_SOURCES_sum,304,14795.970113277435
f702_prev_y_min,228,11295.888099849224
f702_prev_y_q75,96,6375.353038549423
f001_EXT_SOURCE_2,274,5705.751168012619
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,111,4337.530481263995
f001_EXT_SOURCE_3,179,4263.383368849754
f002_OCCUPATION_TYPE,178,4178.747875213623
f001_CODE_GENDER,171,3665.238235473633
f002_NAME_EDUCATION_TYPE,90,2932.539159297943
f702_prev_y_q25,81,2707.8206189870834
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,79,2565.3141946792603
f001_EXT_SOURCE_1,129,2135.050415992737
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,74,2130.1342021226883
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,93,2041.998447060585
f001_AMT_CREDIT-d-AMT_ANNUITY,150,1807.9573686122894
f001_EXT_SOURCES_prod,64,1673.8922410011292
f305_notdelay_con_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,66,1666.6643834114075
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_var,69,1562.3346757888794
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,62,1552.1651535332203
f108_PRODUCT_COMBINATION,131,1543.1422805786133
f505_Closed_DAYS_CREDIT_ENDDATE-d-app_DAYS_LAST_PHONE_CHANGE_var,91,1527.2356514930725
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,54,1504.2264250963926
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,66,1464.8933045864105
f002_NAME_FAMILY_STATUS,99,1459.1789207458496
f202_CNT_INSTALMENT_FUTURE_pctchange_mean,76,1411.7213463783264
f001_DEF_30_CNT_SOCIAL_CIRCLE,68,1343.864664554596
f001_EXT_SOURCES_2-3,113,1305.5403547286987
f505_Active_AMT_CREDIT_MAX_OVERDUE_var,76,1270.6573967933655
f305_notdelay_con_AMT_PAYMENT_sum,44,1263.265116482973
f505_Active_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_sum,64,1214.669783115387
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max,69,1197.464512348175
f001_EXT_SOURCES_std,89,1172.9613259136677
f001_DAYS_REGISTRATION-m-DAYS_BIRTH,72,1158.3936465010047
f702_prev_y_median,45,1118.7510075569153
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,49,1117.696985244751
f501_DAYS_CREDIT_min,82,1110.2966876029968
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,52,1109.0484314784408
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,83,1095.9354940652847
f001_OWN_CAR_AGE,59,1085.201865196228
f301_notdelay_NUM_INSTALMENT_ratio_var,75,1043.9033689498901
f308_cons_NUM_INSTALMENT_ratio_diff_var,87,1041.9215911626816
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,43,1012.6393872797489
f305_con_AMT_PAYMENT-d-app_AMT_ANNUITY_max,37,996.0871105194092
f303_days_weighted_delay_sum,57,974.716203391552
f001_FLAG_DOCUMENT_3,60,970.9995865821838
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,52,942.3928761482239
f002_WEEKDAY_APPR_PROCESS_START,81,941.5520367622375
f101_approved_AMT_CREDIT-d-total_debt_mean,38,928.9354982376099
f505_Active_AMT_CREDIT_SUM-d-debt-p-AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_min,41,921.6413426399231
f301_NUM_INSTALMENT_ratio_var,57,919.5037822723389
f406_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,22,891.8120975494385
f001_EXT_SOURCES_1-2,57,868.9378833770752
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,48,862.9170253276825
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_pctchange_max,45,835.3949480056763
f502_DAYS_CREDIT_ENDDATE-m-app_DAYS_LAST_PHONE_CHANGE_min,51,834.8217104673386
f001_REGION_RATING_CLIENT,70,819.0189714431763
f202_CNT_INSTALMENT_FUTURE_pctchange_min,35,786.7781286239624
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_sum,31,783.5431513637304
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_sum,31,777.428060054779
