index,split,gain
EXT_SOURCE_2,4199,163896.40619683266
EXT_SOURCE_3,4014,155408.5043129921
ORGANIZATION_TYPE,4813,62389.724692344666
EXT_SOURCE_1,3568,62127.700815200806
ins_301_AMT_PAYMENT_min,2615,32282.758132457733
bureau_501_DAYS_CREDIT_max,2810,31930.47492313385
EXT_SOURCE_1-by-AMT_INCOME_TOTAL,2630,30788.10467863083
DAYS_LAST_PHONE_CHANGE-DAYS_EMPLOYED,2563,30728.177409172058
AMT_ANNUITY,2732,30569.320181131363
DAYS_ID_PUBLISH-DAYS_EMPLOYED,2619,27619.307312250137
DAYS_EMPLOYED-DAYS_BIRTH,2651,27235.640077114105
bureau_501_DAYS_CREDIT_mean,1880,26735.196793079376
DAYS_BIRTH,2093,25996.043706417084
AMT_ANNUITY-by-AMT_INCOME_TOTAL,2415,25752.1277987957
OCCUPATION_TYPE,1651,24849.14778804779
DAYS_ID_PUBLISH,2363,24375.296491146088
DAYS_ID_PUBLISH-DAYS_BIRTH,2216,23789.30425310135
DAYS_REGISTRATION-DAYS_EMPLOYED,2353,23443.878556251526
DAYS_EMPLOYED,1951,22036.42975449562
AMT_GOODS_PRICE,1803,22032.661397457123
bureau_501_DAYS_ENDDATE_FACT_max,2149,21824.23034596443
bureau_501_DAYS_CREDIT_ENDDATE_max,2087,21755.272650003433
pos_201_CNT_INSTALMENT_FUTURE_mean,1901,21500.606961250305
AMT_INCOME_TOTAL-AMT_CREDIT,1903,21165.204174995422
AMT_CREDIT,1871,21137.48857831955
DAYS_LAST_PHONE_CHANGE,1928,20796.73177099228
bureau_501_AMT_CREDIT_SUM_mean,1934,20220.70250892639
DAYS_LAST_PHONE_CHANGE-DAYS_ID_PUBLISH,2001,19902.608587265015
DAYS_REGISTRATION,1974,19859.42017698288
DAYS_REGISTRATION-DAYS_BIRTH,1948,19524.91517305374
DAYS_LAST_PHONE_CHANGE-DAYS_BIRTH,1816,19223.621134757996
OWN_CAR_AGE,1575,18984.737580299377
prev_101_HOUR_APPR_PROCESS_START_mean,1862,18955.44812488556
REGION_POPULATION_RELATIVE,1924,18927.326778888702
bureau_501_AMT_CREDIT_SUM_DEBT_mean,1710,18914.13742160797
AMT_INCOME_TOTAL-AMT_GOODS_PRICE,1817,18900.702692508698
AMT_CREDIT-by-AMT_INCOME_TOTAL,1842,18814.003561496735
pos_201_CNT_INSTALMENT_FUTURE_std,1719,18742.608464717865
bureau_501_AMT_CREDIT_SUM_std,1869,18735.14163827896
AMT_INCOME_TOTAL-AMT_ANNUITY,1909,18712.494861125946
bureau_501_AMT_CREDIT_SUM_DEBT_std,1726,18532.322555065155
prev_101_CNT_PAYMENT_std,1663,18388.965368270874
DAYS_ID_PUBLISH-DAYS_REGISTRATION,1828,18165.728179454803
DAYS_LAST_PHONE_CHANGE-DAYS_REGISTRATION,1813,18084.79997396469
bureau_501_DAYS_CREDIT_ENDDATE_std,1803,17999.120892047882
prev_101_CNT_PAYMENT_mean,1562,17992.17390203476
