index,split,gain
prev_PRODUCT_COMBINATION_DAYS_LAST_DUE_1ST_VERSION-Cash-X-Sell:-high_sum,13,243.87870121002197
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_CNT_PAYMENT_mean_sum,9,238.1844997406006
LIVINGAREA_MODE,12,238.12290000915527
prev_NAME_CASH_LOAN_PURPOSE_DAYS_LAST_DUE_1ST_VERSION-XNA_mean,12,237.24619960784912
prev_NAME_CASH_LOAN_PURPOSE_DAYS_LAST_DUE_1ST_VERSION-XNA_sum,12,235.46410179138184
prev_NAME_CLIENT_TYPE_AMT_GOODS_PRICE-New_sum,12,233.8249969482422
DAYS_ID_PUBLISH-DAYS_REGISTRATION,12,229.55249881744385
YEARS_BEGINEXPLUATATION_MEDI,13,229.4306001663208
prev_NAME_YIELD_GROUP_DAYS_LAST_DUE_1ST_VERSION-high_sum,12,229.3474998474121
prev_NAME_TYPE_SUITE_DAYS_DECISION-Unaccompanied_sum,12,224.51600074768066
prev_NAME_PAYMENT_TYPE_AMT_ANNUITY-Cash-through-the-bank_mean,13,223.11520099639893
prev_NAME_CONTRACT_TYPE_AMT_ANNUITY-Consumer-loans_sum,11,223.07050132751465
prev_PRODUCT_COMBINATION_CNT_PAYMENT-Cash-X-Sell:-middle_mean,10,222.32330131530762
FLOORSMAX_AVG,11,221.15989780426025
prev_gby-SK_ID_CURR-NAME_YIELD_GROUP_HOUR_APPR_PROCESS_START_mean_std,11,214.20309734344482
prev_WEEKDAY_APPR_PROCESS_START_AMT_APPLICATION-FRIDAY_mean,12,213.98809814453125
LANDAREA_AVG,13,213.77430152893066
prev_gby-SK_ID_CURR-NAME_PAYMENT_TYPE_DAYS_DECISION_mean_std,11,213.27069854736328
prev_gby-SK_ID_CURR-CHANNEL_TYPE_DAYS_FIRST_DUE_max_std,12,212.78179931640625
prev_NAME_CONTRACT_TYPE_DAYS_DECISION-Revolving-loans_mean,11,212.58560276031494
prev_NAME_SELLER_INDUSTRY_AMT_ANNUITY-Consumer-electronics_sum,11,212.48749828338623
prev_gby-SK_ID_CURR-NAME_GOODS_CATEGORY_HOUR_APPR_PROCESS_START_min_std,13,212.2251033782959
LIVINGAREA_AVG,12,211.6279993057251
prev_WEEKDAY_APPR_PROCESS_START_AMT_CREDIT-WEDNESDAY_mean,12,210.71700286865234
prev_NAME_YIELD_GROUP_AMT_ANNUITY-high_mean,13,210.56270217895508
prev_NAME_SELLER_INDUSTRY_AMT_ANNUITY-Connectivity_mean,11,209.51620197296143
prev_NAME_YIELD_GROUP_AMT_DOWN_PAYMENT-high_sum,10,209.19379901885986
prev_CHANNEL_TYPE_HOUR_APPR_PROCESS_START-Credit-and-cash-offices_mean,12,207.35990047454834
prev_NAME_CONTRACT_TYPE_AMT_APPLICATION-Consumer-loans_sum,10,204.6440029144287
prev_gby-SK_ID_CURR-NAME_YIELD_GROUP_DAYS_FIRST_DRAWING_mean_std,8,203.40689754486084
AMT_ANNUITY-by-CNT_CHILDREN,12,203.0112009048462
prev_PRODUCT_COMBINATION_DAYS_LAST_DUE_1ST_VERSION-Cash-X-Sell:-middle_mean,9,201.60710048675537
prev_gby-SK_ID_CURR-CHANNEL_TYPE_CNT_PAYMENT_std_max,11,199.4932985305786
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_AMT_ANNUITY_sum_min,8,199.4412021636963
prev_gby-SK_ID_CURR-NAME_PAYMENT_TYPE_AMT_CREDIT_min_std,11,199.1957025527954
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_HOUR_APPR_PROCESS_START_std_mean,11,198.90170001983643
OBS_30_CNT_SOCIAL_CIRCLE,10,197.26219940185547
prev_NAME_SELLER_INDUSTRY_HOUR_APPR_PROCESS_START-Consumer-electronics_mean,12,196.01640033721924
prev_NAME_PAYMENT_TYPE_DAYS_LAST_DUE_1ST_VERSION-Cash-through-the-bank_mean,11,195.16959953308105
prev_WEEKDAY_APPR_PROCESS_START_DAYS_DECISION-THURSDAY_mean,11,195.02159786224365
prev_CHANNEL_TYPE_DAYS_DECISION-Credit-and-cash-offices_mean,11,194.14900016784668
prev_NAME_YIELD_GROUP_AMT_CREDIT-high_sum,11,193.96339893341064
prev_NAME_YIELD_GROUP_DAYS_LAST_DUE_1ST_VERSION-low_normal_sum,11,193.78539943695068
prev_gby-SK_ID_CURR-NAME_PRODUCT_TYPE_AMT_ANNUITY_std_min,10,193.12290477752686
prev_NAME_SELLER_INDUSTRY_AMT_CREDIT-Connectivity_sum,10,192.8362979888916
prev_CHANNEL_TYPE_DAYS_DECISION-Country-wide_sum,11,191.09370231628418
prev_NAME_CASH_LOAN_PURPOSE_AMT_ANNUITY-XAP_sum,10,190.78479957580566
prev_NAME_YIELD_GROUP_AMT_ANNUITY-low_normal_sum,10,190.63999843597412
prev_NAME_PORTFOLIO_AMT_APPLICATION-POS_sum,10,189.66950035095215
prev_CHANNEL_TYPE_DAYS_FIRST_DRAWING-Credit-and-cash-offices_std,11,189.25310039520264
prev_NAME_CLIENT_TYPE_AMT_DOWN_PAYMENT-New_mean,10,187.71570205688477
prev_NAME_YIELD_GROUP_AMT_ANNUITY-low_action_sum,10,186.8651008605957
prev_CODE_REJECT_REASON_XAP_norm,10,186.6232032775879
APARTMENTS_MODE,10,186.33019828796387
prev_gby-SK_ID_CURR-NAME_CASH_LOAN_PURPOSE_DAYS_DECISION_max_min,11,186.15120124816895
prev_WEEKDAY_APPR_PROCESS_START_MONDAY_norm,10,185.0781021118164
prev_PRODUCT_COMBINATION_AMT_CREDIT-POS-mobile-with-interest_mean,10,184.38559913635254
prev_PRODUCT_COMBINATION_CNT_PAYMENT-POS-household-with-interest_sum,10,184.31999969482422
prev_CHANNEL_TYPE_DAYS_TERMINATION-Country-wide_sum,10,183.66010093688965
prev_PRODUCT_COMBINATION_HOUR_APPR_PROCESS_START-POS-household-with-interest_mean,10,183.40789985656738
prev_NAME_YIELD_GROUP_AMT_APPLICATION-middle_sum,9,183.0898027420044
prev_NAME_YIELD_GROUP_HOUR_APPR_PROCESS_START-high_sum,10,182.48450088500977
prev_NAME_PAYMENT_TYPE_DAYS_DECISION-Cash-through-the-bank_mean,11,182.47170066833496
prev_gby-SK_ID_CURR-NAME_PAYMENT_TYPE_HOUR_APPR_PROCESS_START_mean_std,10,181.23080158233643
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_DAYS_DECISION_sum_max,10,180.58460235595703
prev_NAME_YIELD_GROUP_CNT_PAYMENT-low_normal_sum,9,178.10840034484863
prev_NAME_TYPE_SUITE_HOUR_APPR_PROCESS_START-Unaccompanied_mean,10,177.8415012359619
prev_NAME_CLIENT_TYPE_AMT_CREDIT-Repeater_sum,9,177.11279964447021
prev_gby-SK_ID_CURR-NAME_PAYMENT_TYPE_DAYS_TERMINATION_max_min,9,176.6075038909912
prev_gby-SK_ID_CURR-NAME_PRODUCT_TYPE_DAYS_LAST_DUE_std_mean,10,176.1066017150879
prev_gby-SK_ID_CURR-NAME_CASH_LOAN_PURPOSE_AMT_ANNUITY_max_min,9,175.54970169067383
prev_gby-SK_ID_CURR-NAME_CLIENT_TYPE_DAYS_LAST_DUE_1ST_VERSION_min_max,8,175.4217004776001
prev_CHANNEL_TYPE_AMT_DOWN_PAYMENT-Country-wide_sum,11,175.28039836883545
prev_NAME_YIELD_GROUP_DAYS_DECISION-low_normal_mean,9,175.2750015258789
prev_gby-SK_ID_CURR-NAME_TYPE_SUITE_DAYS_FIRST_DRAWING_mean_mean,9,174.46049880981445
prev_gby-SK_ID_CURR-NAME_CLIENT_TYPE_AMT_APPLICATION_mean_std,11,174.1299991607666
prev_PRODUCT_COMBINATION_DAYS_LAST_DUE_1ST_VERSION-POS-household-with-interest_mean,10,174.12429809570312
prev_gby-SK_ID_CURR-NAME_SELLER_INDUSTRY_HOUR_APPR_PROCESS_START_mean_std,9,174.03750038146973
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_HOUR_APPR_PROCESS_START_sum_min,9,173.7009983062744
prev_NAME_YIELD_GROUP_DAYS_LAST_DUE-high_mean,9,172.9650993347168
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_DAYS_FIRST_DUE_max_std,10,172.33570003509521
prev_gby-SK_ID_CURR-PRODUCT_COMBINATION_HOUR_APPR_PROCESS_START_std_mean,9,172.07940006256104
prev_CHANNEL_TYPE_DAYS_DECISION-AP+-(Cash-loan)_sum,11,171.80099964141846
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_DAYS_DECISION_mean_std,9,171.52770042419434
prev_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_DAYS_FIRST_DRAWING_sum_mean,7,171.3995008468628
prev_NAME_SELLER_INDUSTRY_AMT_CREDIT-Consumer-electronics_mean,9,170.94709968566895
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_AMT_APPLICATION_max_min,9,170.93109893798828
prev_NAME_CONTRACT_TYPE_DAYS_DECISION-Revolving-loans_sum,9,170.58030033111572
AMT_CREDIT-by-CNT_CHILDREN,10,170.30649852752686
prev_CHANNEL_TYPE_DAYS_LAST_DUE_1ST_VERSION-Country-wide_mean,9,170.17529964447021
prev_NAME_YIELD_GROUP_AMT_ANNUITY-middle_mean,8,170.02919960021973
prev_gby-SK_ID_CURR-NAME_SELLER_INDUSTRY_AMT_APPLICATION_std_min,9,169.8336009979248
prev_gby-SK_ID_CURR-CHANNEL_TYPE_DAYS_DECISION_std_mean,9,169.57919788360596
prev_NAME_PRODUCT_TYPE_AMT_ANNUITY-XNA_sum,7,169.17419815063477
prev_gby-SK_ID_CURR-CHANNEL_TYPE_AMT_CREDIT_std_min,9,168.9610996246338
prev_NAME_YIELD_GROUP_HOUR_APPR_PROCESS_START-low_action_mean,9,168.72029972076416
prev_gby-SK_ID_CURR-NAME_SELLER_INDUSTRY_HOUR_APPR_PROCESS_START_sum_std,8,168.44729900360107
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_DECISION_mean_sum,8,168.3050022125244
prev_CODE_REJECT_REASON_DAYS_DECISION-HC_mean,8,167.8606014251709
prev_gby-SK_ID_CURR-NAME_CASH_LOAN_PURPOSE_DAYS_FIRST_DUE_std_max,10,167.51650142669678
prev_NAME_YIELD_GROUP_DAYS_FIRST_DUE-low_action_sum,7,167.3683032989502
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_CNT_PAYMENT_mean_std,9,167.33180046081543
prev_NAME_CLIENT_TYPE_DAYS_LAST_DUE-New_mean,4,167.33140182495117
prev_PRODUCT_COMBINATION_AMT_DOWN_PAYMENT-POS-household-with-interest_sum,9,167.03959941864014
prev_NAME_PAYMENT_TYPE_DAYS_DECISION-XNA_mean,9,166.96430015563965
prev_gby-SK_ID_CURR-CHANNEL_TYPE_DAYS_LAST_DUE_1ST_VERSION_sum_std,9,166.73029899597168
prev_gby-SK_ID_CURR-NAME_YIELD_GROUP_AMT_GOODS_PRICE_min_std,9,166.45540142059326
prev_NAME_PAYMENT_TYPE_AMT_ANNUITY-Cash-through-the-bank_sum,10,165.44369983673096
prev_gby-SK_ID_CURR-PRODUCT_COMBINATION_DAYS_FIRST_DRAWING_sum_mean,10,165.1884994506836
prev_NAME_CLIENT_TYPE_AMT_CREDIT-New_mean,9,164.90319919586182
prev_gby-SK_ID_CURR-NAME_CLIENT_TYPE_AMT_ANNUITY_min_std,10,164.70550060272217
