feature,total
f301_days_weighted_delay_sum,0.033439517171065795
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_mean,0.033351527476596914
f302_days_weighted_delay_max,0.03328830235118778
f301_delay_DAYS_ENTRY_PAYMENT_mean,0.03327459436087675
f706_4,0.03280227089684608
f314_days_delayed_payment_diff_max,0.0323791536126752
f001_REG_CITY_NOT_LIVE_CITY,0.03231173515125333
f406_CNT_DRAWINGS_ATM_CURRENT_std,0.03207224931767773
f602_Active_CURR-BUREAU_cnt_var,0.032015569897052426
f707_24,0.03195766971736512
f308_cas_DAYS_INSTALMENT_pctchange_var,0.031890591102282685
f001_NEW_CAR_TO_BIRTH_RATIO,0.03153525926365423
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max,0.03127098233251
f015_EXT_SOURCE_2,0.030921446963625417
f510_SK_ID_BUREAU,0.030860299495126062
f509_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT,0.03071383697403192
f105_amt_paid-d-unpaid_mean,0.030113840843527688
f301_amt_delta_mean,0.03010089015774216
f507_Active_DAYS_CREDIT-m-app_DAYS_BIRTH_sum,0.0297476776866287
f301_days_weighted_delay_max-d-min,0.029692187850066318
f305_notdelay_con_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,0.02943162833459446
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,0.029427363002077364
f502_AMT_CREDIT_MAX_OVERDUE_sum,0.02922498126614792
f001_TOTALAREA_MODE,0.02914244955900332
f002_NAME_INCOME_TYPE,0.02900941013288965
f501_DAYS_CREDIT_UPDATE_std-d-mean,0.02886972227931575
f510_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT,0.0287472602747965
f308_delay_cons_days_weighted_delay_tsw3_diff_var,0.028687789815071738
f401_CNT_DRAWINGS_POS_CURRENT_diff_diff_mean,0.02862524391716484
f302_days_weighted_delay_max-d-min,0.0285170735854062
f708_0,0.02838824145286813
f501_DAYS_ENDDATE_FACT-m-app_DAYS_ID_PUBLISH_std-d-mean,0.02824880055220985
f001_AMT_ANNUITY-d-cnt_adults,0.028241131946503486
f001_AMT_CREDIT-d-CNT_FAM_MEMBERS,0.028143190897991124
f503_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,0.028108263237822628
f707_23,0.02797209313939349
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.027925340332067658
f001_OWN_CAR_AGE-m-DAYS_EMPLOYED,0.027661509951495158
f705_1,0.027635248719539682
f501_DAYS_CREDIT_UPDATE_diff_std-d-mean,0.02747112069465368
f310_days_weighted_delay_max,0.027389577074994315
f505_Active_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_max-d-min,0.02735611137000533
f001_DAYS_REGISTRATION-m-DAYS_BIRTH,0.027348094530679025
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,0.02733450258660573
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_min,0.027103746587046368
f001_AMT_GOODS_PRICE-m-AMT_CREDIT-d-AMT_INCOME_TOTAL,0.02702994152015236
f002_WEEKDAY_APPR_PROCESS_START,0.026935523679679656
f308_notdelay_rev_days_weighted_delay_tsw3_diff_var,0.02691582120981839
f501_DAYS_ENDDATE_FACT-m-DAYS_CREDIT_ENDDATE_mean,0.026823412895545115
f305_con_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,0.026777287106072384
f706_3,0.026706166061107504
f705_3,0.02666304179972538
f405_AMT_TOTAL_RECEIVABLE-m-AMT_RECEIVABLE_PRINCIPAL_pctchange_std-d-mean,0.026581628717455598
f302_delay_AMT_PAYMENT-d-app_AMT_GOODS_PRICE_max,0.026238761810421216
f101_nyg-middle_AMT_ANNUITY-m-app_AMT_ANNUITY_max,0.02615813296598072
f706_10,0.026144689134868667
f201_CNT_INSTALMENT_FUTURE_pctchange_std-d-mean,0.026130245585197085
f312_days_weighted_delay_max,0.026076163263753525
f303_days_weighted_delay_max,0.026073124758878758
f101_active_AMT_GOODS_PRICE-d-total_debt_min,0.026064360178125277
f305_con_NUM_INSTALMENT_ratio_std-d-mean,0.02602689066145141
f510_AMT_CREDIT_SUM,0.026022068802830086
f401_AMT_BALANCE-d-app_AMT_ANNUITY_diff_mean,0.02599511013608928
f506_DAYS_CREDIT_ENDDATE-d-app_DAYS_LAST_PHONE_CHANGE_max,0.02592522189565753
f507_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.02588894816241667
f705_4,0.025668042169785424
f001_OWN_CAR_AGE-d-DAYS_BIRTH,0.025617752189493102
f301_delay_DAYS_ENTRY_PAYMENT_max,0.025320211501644187
f509_AMT_CREDIT_SUM,0.02529523863067025
f509_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE,0.025286333735736518
f706_11,0.02524297744731121
f707_1,0.0251117921735559
f705_6,0.025079149573695027
f205_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_std-d-mean,0.025075696206703045
f507_Active_AMT_CREDIT_SUM_sum,0.025051715921983343
f205_SK_DPD_std-d-mean,0.02494784324204392
f706_9,0.024925328971888268
f101_nyg-high_AMT_GOODS_PRICE-d-total_debt_mean,0.02491883540097941
f025_last_TARGET,0.024832455842747847
f706_16,0.02480118553663946
f501_AMT_CREDIT_MAX_OVERDUE_max,0.024712652445842326
f205_CNT_INSTALMENT_FUTURE_pctchange_mean,0.024669072546670195
f302_notdelay_NUM_INSTALMENT_ratio_max,0.02466087223644925
f505_Closed_AMT_CREDIT_SUM-d-app_AMT_CREDIT_sum,0.024641159111286767
f505_Active_AMT_CREDIT_SUM_LIMIT-d-app_AMT_CREDIT_mean,0.024590299240329242
f332_notdelay_DAYS_ENTRY_PAYMENT-m-app_DAYS_ID_PUBLISH_std-d-mean,0.02454468072751378
f706_7,0.02445631637352707
f706_15,0.02440482825073527
f314_amt_ratio_diff_mean,0.02439400071493621
f001_OWN_CAR_AGE-m-DAYS_BIRTH,0.024334217025772514
f308_cons_days_weighted_delay_tsw3_diff_mean,0.024324368554874718
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_sum,0.02432341648721255
f405_AMT_BALANCE-d-app_AMT_INCOME_TOTAL_diff_max,0.02423836949043822
f101_approved_NAME_TYPE_SUITE_Unaccompanied_mean,0.024211834962664804
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY_mean,0.02418861007585137
f310_notdelay_AMT_PAYMENT-d-app_AMT_ANNUITY_min,0.02417495589238167
f707_9,0.024075334944142456
f706_17,0.02406387298059785
f502_DAYS_CREDIT_ENDDATE_mean,0.024045017133881474
f707_2,0.02404363255177921
f507_Active_AMT_CREDIT_SUM_max,0.023995179684642355
f508_Active_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,0.023923486285979283
f707_17,0.02382289290680278
f501_AMT_CREDIT_MAX_OVERDUE_mean,0.023776641774921347
f706_5,0.02377273547604108
f001_age_finish_payment,0.023736721912642443
f505_Active_AMT_CREDIT_MAX_OVERDUE_sum,0.02367276110469074
f505_Active_AMT_CREDIT_MAX_OVERDUE_max,0.023665050933304912
f707_13,0.023612200896666727
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_std-d-mean,0.023591064281160968
f303_days_weighted_delay_sum,0.02358336551618756
f510_AMT_CREDIT_SUM-d-app_AMT_CREDIT,0.023554475495878392
f706_18,0.023527031640601576
f504_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_max,0.023495675966046764
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_mean,0.02348479696849353
f508_Active_AMT_CREDIT_SUM_diff_max,0.0233236617442884
f706_0,0.023304095144885115
f302_delay_DAYS_ENTRY_PAYMENT_mean,0.023288478570818776
f705_0,0.023266334875783917
f109_AMT_GOODS_PRICE-d-total_debt,0.023223020946355817
f311_AMT_PAYMENT-d-AMT_ANNUITY_diff_pctchange_mean,0.0232190474298224
f705_2,0.02318393668730028
f706_8,0.023090937155180992
f001_DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,0.02308955250699729
f507_Active_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_max,0.02300025693842145
f508_Active_AMT_CREDIT_SUM_sum,0.022988301296124683
f705_7,0.02291553156669844
f706_21,0.02291499059142249
f305_cas_days_weighted_delay_max,0.02288653246187574
f202_SK_DPD_diff_std,0.022855512890906336
f505_Closed_AMT_CREDIT_SUM-d-app_AMT_GOODS_PRICE_sum,0.022843486108051717
f105_amt_unpaid_sum-p-app-d-income,0.02279484987729121
f025_EXT_SOURCE_2_ratio,0.02277028981168927
f506_DAYS_CREDIT_UPDATE_diff_max,0.022768455417572137
f109_SELLERPLACE_AREA,0.022754933765297046
f001_YEARS_BEGINEXPLUATATION_MEDI,0.022738069295142844
f303_DPD_mean,0.0227198715243202
f707_15,0.02271340049662753
f312_days_weighted_delay_diff_mean,0.02269479737818401
f312_days_delayed_payment_pctchange_var,0.022650398069984014
f105_prevapp_future_payment_13m,0.02258784218244591
f310_notdelay_NUM_INSTALMENT_ratio_max,0.02258166233579546
f707_0,0.02257768357969341
f706_12,0.02256512326803304
f101_completed_AMT_ANNUITY-d-app_AMT_ANNUITY_mean,0.022550800856622182
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_min,0.0225436699735513
f705_5,0.02250192207429077
f306_cons_DEP_diff_var,0.02249260930192418
f602_Closed_STATUS_0_mean,0.022460645611632333
f405_AMT_INST_MIN_REGULARITY_diff_diff_mean,0.022432059567408662
f310_delay_days_weighted_delay_max-m-min,0.02235337027792228
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_std-d-mean,0.02234739874242469
f507_Closed_DAYS_CREDIT-d-app_DAYS_REGISTRATION_min,0.022316719920193368
f707_4,0.02227882540023421
