index,split,gain
cre_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_CNT_DRAWINGS_ATM_CURRENT_mean_min,14,313.3567991256714
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_mean_max,13,303.8488025665283
cre_gby-SK_ID_CURR-SK_ID_PREV_CNT_DRAWINGS_ATM_CURRENT_mean_sum,12,303.62720108032227
REGION_RATING_CLIENT,13,302.42019844055176
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_min_mean,15,300.8027038574219
bureau_AMT_CREDIT_SUM_DEBT-currency-1-Credit-card_sum,14,296.4556016921997
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_mean_max,3,289.30680084228516
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_max_mean,14,286.8575973510742
pos_SK_DPD_over5_min-ts,10,285.3701972961426
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_min_max,12,284.43989658355713
REGION_RATING_CLIENT_W_CITY,12,282.20349884033203
prev_NAME_YIELD_GROUP_RATE_DOWN_PAYMENT-high_sum,11,275.95720195770264
LIVINGAREA_MODE,14,273.7351961135864
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_max_mean,13,273.6535949707031
bureau_AMT_CREDIT_SUM-Closed-currency-1_sum,12,273.1427993774414
pos_SK_DPD_over1_max-min-ts,9,272.6651020050049
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_sum_min,12,272.50419998168945
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_RATE_DOWN_PAYMENT_sum_mean,8,270.4373950958252
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_mean_mean,14,269.38969802856445
bureau_DAYS_CREDIT_ENDDATE-Active-Consumer-credit_std,12,267.54239654541016
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_ENDDATE_FACT_max_min,15,266.8341989517212
bureau_active_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_mean_max,14,266.79090213775635
bureau_AMT_CREDIT_SUM_DEBT-currency-1-Credit-card_mean,13,265.4048013687134
prev_gby-SK_ID_CURR-NAME_CASH_LOAN_PURPOSE_CNT_PAYMENT_mean_sum,8,264.48449993133545
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_min_max,12,255.25560092926025
DAYS_REGISTRATION-DAYS_BIRTH,14,255.1091012954712
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_max_min,14,252.60589504241943
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_DECISION_sum_max,11,246.95520114898682
prev_gby-SK_ID_CURR-SK_ID_PREV_DAYS_FIRST_DRAWING_sum_mean,10,246.11749935150146
AMT_INCOME_TOTAL-rank_in-region,14,244.8439016342163
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_min_sum,13,244.58339977264404
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_UPDATE_std_mean,11,242.19299602508545
bureau_AMT_CREDIT_MAX_OVERDUE-Closed-Consumer-credit_mean,11,241.11199951171875
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_ENDDATE_max_min,13,241.02220249176025
bureau_CREDIT_ACTIVE_AMT_CREDIT_SUM-Closed_mean,14,239.9423007965088
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_std_min,12,237.6747007369995
AMT_INCOME_TOTAL-AMT_ANNUITY,13,234.98900032043457
bureau_CREDIT_TYPE_AMT_CREDIT_SUM-Consumer-credit_sum,11,232.3631992340088
bureau_AMT_CREDIT_MAX_OVERDUE-Active-Consumer-credit_sum,11,231.9921998977661
cre_gby-SK_ID_CURR_CNT_DRAWINGS_ATM_CURRENT_mean,10,231.41019821166992
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_AMT_PAYMENT_min_mean,12,230.2795000076294
bureau_active_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_UPDATE_mean_max,12,228.2648000717163
DAYS_REGISTRATION-DAYS_EMPLOYED,12,227.70040225982666
prev_NAME_CONTRACT_TYPE_DAYS_LAST_DUE_1ST_VERSION-Cash-loans_mean,9,226.20879936218262
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_min_std,11,224.5443992614746
bureau_DAYS_CREDIT_UPDATE-Active-Consumer-credit_mean,12,223.7632999420166
DAYS_LAST_PHONE_CHANGE-DAYS_ID_PUBLISH,11,222.4525022506714
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_DEBT_min_mean,12,220.52709674835205
YEARS_BEGINEXPLUATATION_AVG,12,219.93669986724854
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_AMT_ANNUITY_max_std,10,219.69209957122803
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_CNT_INSTALMENT_FUTURE_mean_std,10,219.21140003204346
prev_NAME_PAYMENT_TYPE_DAYS_LAST_DUE_1ST_VERSION-Cash-through-the-bank_sum,11,216.0216999053955
prev_NAME_YIELD_GROUP_DAYS_DECISION-middle_mean,10,216.01640129089355
bureau_active_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_MAX_OVERDUE_sum_min,11,212.61539936065674
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_INSTALMENT_min_sum,11,212.31790161132812
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_SK_DPD_DEF_mean_mean,8,211.17739963531494
ins_gby-SK_ID_CURR_DAYS_ENTRY_PAYMENT_max,9,210.76749992370605
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_NUM_INSTALMENT_NUMBER_min_sum,10,210.7486972808838
bureau_CREDIT_TYPE_AMT_CREDIT_SUM-Consumer-credit_mean,11,210.16890144348145
prev_gby-SK_ID_CURR-NAME_TYPE_SUITE_AMT_ANNUITY_max_min,11,210.05899906158447
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_max_std,11,208.4813985824585
DAYS_LAST_PHONE_CHANGE-DAYS_REGISTRATION,11,208.08889770507812
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_DAYS_INSTALMENT_sum_max,10,207.66490077972412
prev_NAME_YIELD_GROUP_DAYS_LAST_DUE_1ST_VERSION-low_normal_mean,10,207.10949993133545
ins_gby-SK_ID_CURR_AMT_PAYMENT_sum,10,204.87059879302979
bureau_gby-SK_ID_CURR_DAYS_CREDIT_max,9,203.46049880981445
prev_WEEKDAY_APPR_PROCESS_START_HOUR_APPR_PROCESS_START-MONDAY_sum,11,203.00249767303467
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_DAYS_ENTRY_PAYMENT_std_std,11,201.62470149993896
pos_SK_DPD_over2_min-ts,9,201.51909637451172
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_std_mean,10,201.01900100708008
bureau_active_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_max_mean,11,199.24319744110107
prev_gby-SK_ID_CURR-NAME_CLIENT_TYPE_DAYS_TERMINATION_max_std,10,198.13739776611328
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_max_std,10,197.34790134429932
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_INSTALMENT_min_mean,11,197.18979930877686
FLOORSMAX_MEDI,7,197.0788049697876
prev_NAME_YIELD_GROUP_DAYS_FIRST_DUE-middle_sum,9,196.30279922485352
prev_gby-SK_ID_CURR-NAME_YIELD_GROUP_HOUR_APPR_PROCESS_START_std_mean,11,196.2889003753662
prev_gby-SK_ID_CURR-NAME_PAYMENT_TYPE_AMT_ANNUITY_min_sum,11,195.71239757537842
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_min_sum,9,195.2266025543213
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_DEBT_mean_min,10,194.59650039672852
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_UPDATE_max_sum,11,194.32359981536865
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_mean_sum,8,194.314302444458
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_std_std,9,194.13759899139404
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_min_mean,11,193.81180095672607
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_AMT_INSTALMENT_mean_std,10,193.4074001312256
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_std_min,10,193.17300033569336
