index,split,gain
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Loan-for-business-development_sum,75,147.720819836577
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Sold-Mortgage_sum,151,133.5271781013289
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-3-Consumer-credit_norm,44,121.88895281543955
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-2-Car-loan_norm,117,119.31619277686855
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Sold-Car-loan_sum,115,110.96907029372233
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Closed-currency-3_sum,38,110.21414923877455
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-2-Car-loan_sum,103,106.21526540821651
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Closed-currency-3_norm,48,104.26664013788104
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Unknown-type-of-loan_sum,36,103.8562016285432
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-2-Consumer-credit_sum,81,95.4138257195882
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Loan-for-working-capital-replenishment_norm,35,91.58970261609647
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Loan-for-working-capital-replenishment_sum,25,87.25495168566704
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Loan-for-the-purchase-of-equipment_sum,3,74.17980447411537
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Loan-for-working-capital-replenishment_sum,41,70.09195086598629
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Unknown-type-of-loan_sum,72,68.72595057166473
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Unknown-type-of-loan_sum,72,59.13390054088086
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Another-type-of-loan_norm,41,53.05121770501137
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Bad-debt-currency-1_norm,8,45.80109710781835
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Bad-debt-currency-1_sum,13,44.79381036874838
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Active-currency-2_sum,57,39.82882133539533
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-2-Mortgage_sum,34,34.96844330430031
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Another-type-of-loan_sum,56,32.306790541275404
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Loan-for-the-purchase-of-equipment_norm,1,31.362499237060547
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-2-Credit-card_sum,22,31.16817519068718
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-3-Consumer-credit_sum,23,30.193768422395806
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Unknown-type-of-loan_norm,22,27.582881419628393
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-2-Credit-card_norm,21,23.848685532808304
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Active-currency-2_norm,21,19.331837599456776
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-2-Loan-for-business-development_norm,3,15.850806717760861
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-2-Mortgage_norm,8,11.18743497133255
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Sold-Microloan_sum,2,8.73381512798369
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Active-currency-3_sum,14,4.135372717606515
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-3-Credit-card_norm,4,3.7112110257148743
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Closed-currency-4_sum,4,3.031369596719742
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Active-currency-3_norm,9,2.6333249064628035
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Active-currency-4_norm,3,2.019174199551344
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Sold-currency-2_norm,2,1.2984551563858986
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Bad-debt-Credit-card_norm,2,0.9826319813728333
