index,split,gain
EXT_SOURCE_3,4705,134716.77931165695
EXT_SOURCE_2,4029,117308.14557170868
EXT_SOURCE_1,3657,55323.92185115814
AMT_GOODS_PRICE,4152,44106.26996731758
DAYS_EMPLOYED,4535,42444.31401324272
DAYS_BIRTH,5021,42323.305399656296
AMT_ANNUITY,5610,41847.623559355736
AMT_CREDIT,5180,41812.09321832657
DAYS_REGISTRATION,5065,34900.815410375595
DAYS_LAST_PHONE_CHANGE,3776,31312.587561368942
DAYS_ID_PUBLISH,4202,31142.412752628326
LIVINGAREA_MEDI,3880,24641.532362937927
REGION_POPULATION_RELATIVE,3494,23214.679570674896
LIVINGAREA_AVG,3737,23138.829691886902
TOTALAREA_MODE,3403,22287.489236950874
ORGANIZATION_TYPE,1492,22047.214435577393
AMT_INCOME_TOTAL,3497,21936.70735514164
LIVINGAREA_MODE,3388,21654.65154695511
LANDAREA_MODE,3447,21464.546346902847
BASEMENTAREA_AVG,3395,20967.330334186554
LANDAREA_AVG,3329,20630.908232688904
YEARS_BEGINEXPLUATATION_MEDI,3330,20511.325670957565
BASEMENTAREA_MEDI,3320,20427.110499978065
APARTMENTS_MEDI,3166,20083.77179801464
APARTMENTS_AVG,2973,19237.72138595581
BASEMENTAREA_MODE,2975,18481.398626565933
OWN_CAR_AGE,2134,18185.476345062256
YEARS_BEGINEXPLUATATION_MODE,2886,17757.701071977615
bb_gby-SK_ID_CURR_bb_MONTH_min_mean,2668,17313.45002889633
OCCUPATION_TYPE,869,16903.569031715393
NONLIVINGAREA_AVG,2631,16660.126428484917
NONLIVINGAREA_MEDI,2673,16600.51724565029
LANDAREA_MEDI,2686,16461.196301937103
COMMONAREA_AVG,2676,16321.488656044006
YEARS_BEGINEXPLUATATION_AVG,2655,16269.914423465729
COMMONAREA_MODE,2575,16239.623297929764
APARTMENTS_MODE,2552,16098.668172359467
bb_gby-SK_ID_CURR_bb_STATUS_0_sum_mean,2622,15560.002192139626
LIVINGAPARTMENTS_AVG,2500,15159.454362630844
COMMONAREA_MEDI,2563,15115.45477283001
bb_gby-SK_ID_CURR_bb_MONTH_min-max_mean,2405,15115.024615645409
LIVINGAPARTMENTS_MODE,2483,14867.63244831562
NONLIVINGAREA_MODE,2419,14666.986505627632
bb_gby-SK_ID_CURR_bb_MONTH_min_std,2396,14336.76209282875
YEARS_BUILD_MODE,2349,14021.81130206585
HOUR_APPR_PROCESS_START,2234,14014.016473054886
LIVINGAPARTMENTS_MEDI,2246,13833.222738027573
bb_gby-SK_ID_CURR_bb_STATUS_0_norm_std,2424,13762.39630806446
YEARS_BUILD_AVG,2259,13398.675012111664
bb_gby-SK_ID_CURR_bb_STATUS_C_norm_max,2220,13359.918453335762
YEARS_BUILD_MEDI,2174,13266.79191160202
bb_gby-SK_ID_CURR_bb_STATUS_C_sum_std,2122,12431.034828782082
bb_gby-SK_ID_CURR_bb_STATUS_0_norm_mean,2122,12350.565648317337
bb_gby-SK_ID_CURR_bb_MONTH_min-max_sum,1971,12029.30581331253
bb_gby-SK_ID_CURR_bb_MONTH_min-max_std,1959,11875.861633300781
bb_gby-SK_ID_CURR_bb_STATUS_0_sum_std,2010,11747.32384967804
AMT_REQ_CREDIT_BUREAU_YEAR,1809,11536.621416926384
bb_gby-SK_ID_CURR_bb_MONTH_min-max_max,1775,11229.285001039505
bb_gby-SK_ID_CURR_bb_STATUS_0_sum_nunique,1817,11109.139554262161
bb_gby-SK_ID_CURR_bb_MONTH_min-max_min,1883,10982.281980633736
bb_gby-SK_ID_CURR_bb_MONTH_min_sum,1848,10952.163383722305
OBS_30_CNT_SOCIAL_CIRCLE,1803,10934.892763614655
