feature,split,gain,total
f002_ORGANIZATION_TYPE,1.0,0.2756110370613678,1.2756110370613678
f001_EXT_SOURCES_mean,0.12581829002182107,1.0,1.125818290021821
f702_prev_y_mean,0.04741122793096608,0.3194698403131586,0.3668810682441247
f702_prev_y_max,0.043914897837730615,0.17858821093678437,0.22250310877451498
f703_bureau_y_max,0.06650466177345765,0.12287211115402352,0.18937677292748117
nejumi,0.11527970640745885,0.0634627777088006,0.17874248411625945
f001_EXT_SOURCES_sum,0.05589168815711169,0.06719691882626591,0.12308860698337759
f002_OCCUPATION_TYPE,0.06625669510017854,0.025068987128446248,0.09132568222862478
f703_bureau_y_q75,0.030425510811346958,0.06048019131955774,0.0909057021309047
f398_y_pred,0.04327018448720492,0.03213165811990965,0.07540184260711458
f001_EXT_SOURCE_2,0.04974211465978973,0.023728269153028607,0.07347038381281834
f001_EXT_SOURCE_3,0.049419757984526885,0.019377380033738872,0.06879713801826576
f001_CODE_GENDER,0.04141043443761158,0.026103270032235334,0.06751370446984692
f108_PRODUCT_COMBINATION,0.05378397143423924,0.011946593614741489,0.06573056504898073
f002_NAME_EDUCATION_TYPE,0.027499504066653444,0.032181423763212626,0.05968092782986607
f001_EXT_SOURCE_1,0.04225352112676056,0.015673214436266517,0.057926735563027076
f001_EXT_SOURCES_prod,0.036723864312636384,0.01701890264558219,0.05374276695821857
f703_bureau_y_var,0.033500297560007934,0.01881724504509388,0.05231754260510181
f001_REGION_POPULATION_RELATIVE,0.041261654433644115,0.008861601136409594,0.05012325557005371
f001_EXT_SOURCES_2-3,0.039401904384050786,0.009860432738920238,0.049262337122971026
f702_prev_y_q75,0.024895853997222776,0.023216103385238798,0.04811195738246157
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,0.02653243404086491,0.020385903992713155,0.04691833803357806
f708_1,0.03245883753223567,0.011049193808569524,0.04350803134080519
f016_EXT_SOURCE_3,0.018795873834556637,0.022412204274539462,0.0412080781090961
f109_NAME_GOODS_CATEGORY,0.03191331085102162,0.0071566327500101655,0.03906994360103179
f002_NAME_FAMILY_STATUS,0.02856576076175362,0.010170032394273524,0.03873579315602715
f011_EXT_SOURCE_1,0.027325927395358062,0.010577690780857409,0.03790361817621547
f001_OWN_CAR_AGE,0.02462309065661575,0.012955458804262434,0.037578549460878186
f014_EXT_SOURCE_1,0.021176353898036106,0.015814535073682207,0.036990888971718316
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,0.026706010712160288,0.009962360642666285,0.036668371354826576
f708_2,0.028838524102360645,0.007500736325131977,0.03633926042749262
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,0.02348244395953184,0.012719413575859054,0.036201857535390895
f702_prev_y_q25,0.022688950605038685,0.011726336273089524,0.03441528687812821
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.019167823844475306,0.014261162228303774,0.03342898607277908
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.018250347153342592,0.01508579873930381,0.0333361458926464
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.021821067248561792,0.011385322922998197,0.03320639017155999
f702_prev_y_min,0.01800238048006348,0.014530438332653635,0.032532818812717114
f013_EXT_SOURCE_3,0.01428288038087681,0.018053103462163926,0.03233598384304073
f012_EXT_SOURCE_2,0.02082920055544535,0.010695309605762812,0.031524510161208164
f702_prev_y_var,0.02635885736956953,0.00507108684045509,0.031429944210024624
f001_REGION_RATING_CLIENT_W_CITY,0.02214342392382464,0.008893497054363425,0.031036920978188068
f105_prevapp_future_payment_19m,0.018622297163261258,0.011729011058422414,0.030351308221683672
f001_AMT_CREDIT-d-AMT_ANNUITY,0.018076770482047214,0.01122141245655301,0.029298182938600224
f001_EXT_SOURCES_std,0.024275937314024994,0.004933155304327145,0.02920909261835214
f001_PAYMENT_RATE,0.019514977187066056,0.009457321632742587,0.028972298819808645
f109_PRODUCT_COMBINATION,0.02318488395159691,0.005240177767513576,0.028425061719110484
f201_MONTHS_BALANCE_max-d-min,0.020110097202935925,0.007643475510079315,0.02775357271301524
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,0.02060603054949415,0.006892176678788349,0.027498207228282497
f708_4,0.02070521721880579,0.0064748312190816976,0.02718004843788749
f108_NAME_GOODS_CATEGORY,0.02216822059115255,0.004736721218126777,0.026904941809279326
f001_EXT_SOURCES_1-2,0.02015969053759175,0.0060466531659590745,0.026206343703550825
f707_18,0.021895457250545525,0.004030178329523771,0.025925635580069297
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,0.019936520531640547,0.005740122148750458,0.025676642680391007
f001_DEF_30_CNT_SOCIAL_CIRCLE,0.01755604046816108,0.007743036190794694,0.025299076658955776
f105_prevapp_future_payment_20m,0.014109303709581432,0.01075999128775544,0.024869294997336873
f708_3,0.020531640547510416,0.0038977129342458363,0.024429353481756254
f509_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM,0.017605633802816902,0.006805795427959122,0.024411429230776025
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,0.0184983138266217,0.005315798583204487,0.02381411240982619
f205_CNT_INSTALMENT_FUTURE_pctchange_min,0.0155971037492561,0.007577895974711655,0.023174999723967755
f707_24,0.018324737155326325,0.0035851083099916223,0.021909845465317948
f706_4,0.017927990478079747,0.0038133893778419707,0.021741379855921717
f001_maxwell_feature_1,0.017084903788930766,0.004619083037636827,0.021703986826567594
f702_prev_y_median,0.0164897837730609,0.004940007466979901,0.021429791240040803
f707_25,0.017432057131521524,0.0037266405159389776,0.021158697647460502
f706_2,0.017233683792898233,0.003314443216887369,0.020548127009785602
f101_approved_cnt_unpaid_std,0.011902400317397342,0.008414006737251584,0.020316407054648926
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_std,0.015026780400714144,0.005142233665895914,0.020169014066610057
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,0.013538980361039477,0.006497873974816185,0.020036854335855663
f707_6,0.01606824042848641,0.003889339898318474,0.019957580326804884
f705_1,0.01688653045030748,0.003045662592823701,0.01993219304313118
f708_0,0.016737750446340013,0.003170989161239189,0.0199087396075792
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max-d-min,0.014878000396746678,0.004833269309919599,0.019711269706666278
f706_18,0.016291410434437614,0.0029605867707923434,0.019251997205229958
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.011951993652053164,0.00727129923556825,0.019223292887621413
f301_notdelay_AMT_PAYMENT_sum,0.013067843681809166,0.006023879392707013,0.01909172307451618
f510_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT,0.015919460424518944,0.0031525654041464142,0.019072025828665358
f001_DAYS_ID_PUBLISH-m-DAYS_REGISTRATION-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,0.015944257091846856,0.0029806558656783034,0.01892491295752516
f706_7,0.0158202737552073,0.0028976967783843083,0.01871797053359161
f001_FLAG_WORK_PHONE,0.014630033723467566,0.004027243515980062,0.01865727723944763
f301_delay_days_weighted_delay_mean,0.014183693711565165,0.004416864766354098,0.018600558477919263
f707_9,0.015646697083911924,0.0027850726343600094,0.018431769718271932
f105_amt_unpaid_sum-p-app-d-income,0.014183693711565165,0.004210944117432839,0.018394637828998004
f509_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT,0.015001983733386234,0.003384480275431632,0.018386464008817865
f001_DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,0.01557230708192819,0.002801419712868771,0.01837372679479696
f706_23,0.014530847054155922,0.0037098006634949535,0.018240647717650875
f405_AMT_DRAWINGS_ATM_CURRENT_sum,0.012398333663955563,0.005760200562426036,0.018158534226381598
f501_DAYS_CREDIT_UPDATE_diff_std-d-mean,0.015249950406665345,0.0029003170754724915,0.018150267482137838
f706_10,0.015200357072009523,0.002906063946025155,0.01810642101803468
f510_SK_ID_BUREAU,0.015051577068042056,0.002847537471906861,0.017899114539948916
f703_bureau_y_mean,0.011555246974806588,0.006316456710109767,0.017871703684916355
f001_DAYS_REGISTRATION-m-DAYS_BIRTH,0.014778813727435032,0.002968838368656616,0.017747652096091648
f001_AMT_CREDIT-d-CNT_FAM_MEMBERS,0.014729220392779211,0.002990393240033484,0.017719613632812697
f706_9,0.014828407062090857,0.002834013450075773,0.01766242051216663
f101_nyg-middle_AMT_ANNUITY-m-app_AMT_ANNUITY_max,0.014357270382860544,0.0031696862268076284,0.017526956609668173
f706_11,0.01467962705812339,0.0027546973953499368,0.017434324453473326
f705_3,0.014605237056139656,0.0027928450838246408,0.017398082139964296
f305_notdelay_con_AMT_PAYMENT_sum,0.01232394366197183,0.005071708278591555,0.017395651940563386
f505_Closed_DAYS_CREDIT_UPDATE_max,0.014158897044237256,0.0031941631301689835,0.01735306017440624
f706_3,0.014555643721483833,0.0027715096810156407,0.017327153402499473
f109_SELLERPLACE_AREA,0.014555643721483833,0.0027441648602710036,0.017299808581754835
f106_CODE_REJECT_REASON-XAP,0.013886133703630232,0.0033205270993179924,0.017206660802948224
f705_2,0.014530847054155922,0.0026609108437762657,0.01719175789793219
f101_approved_AMT_CREDIT-d-total_debt_mean,0.012150366990676455,0.004940637369645577,0.017091004360322033
f707_17,0.014332473715532631,0.0027474474639896736,0.017079921179522305
