feature,weight,gain,cover,total
f104_completed_AMT_APPLICATION-m-app_AMT_CREDIT-d-app_AMT_INCOME_TOTAL_diff_std-d-mean,0.006207324643078833,0.05050023076735204,0.1208818085078318,0.1775893639182627
f110_nyg-high_nyg-high_AMT_GOODS_PRICE-d-total_debt_mean_mean,0.002482929857231533,0.11977041477855614,0.05531949085662711,0.1775728354924148
f101_completed_AMT_ANNUITY-d-app_AMT_ANNUITY_mean,0.01675977653631285,0.13489138202777157,0.025883117706681637,0.17753427627076607
f305_notdelay_cas_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_max,0.006207324643078833,0.05857203856820652,0.11268339964753149,0.17746276285881685
f504_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,0.01303538175046555,0.07671714140391978,0.08764455957733015,0.17739708273171548
f108_AMT_ANNUITY,0.0186219739292365,0.052696043621958934,0.10607512520118295,0.17739314275237839
f101_active_AMT_GOODS_PRICE-d-total_debt_mean,0.024829298572315334,0.12173379484602373,0.030802355500533805,0.17736544891887288
f505_Closed_DAYS_CREDIT_UPDATE_max,0.024829298572315334,0.0772043582573346,0.07528697300193432,0.17732062983158425
f308_delay_cons_days_weighted_delay_tsw3_diff_var,0.0260707635009311,0.08992205740578414,0.06131162623091573,0.17730444713763097
f508_Active_DAYS_CREDIT-d-app_DAYS_ID_PUBLISH_max-m-min,0.004965859714463066,0.05781842686752423,0.11450010105609376,0.17728438763808108
f104_approved_AMT_ANNUITY-m-app_AMT_GOODS_PRICE_diff_mean,0.00558659217877095,0.055461201200565795,0.11618532058114883,0.17723311396048558
f310_delay_NUM_INSTALMENT_ratio_min,0.006828057107386716,0.11667417395057109,0.05367330687913756,0.17717553793709534
f110_nyg-low_action_nyg-low_action_AMT_APPLICATION-d-app_AMT_INCOME_TOTAL_max_max,0.008069522036002483,0.05690699977564504,0.1119905699866568,0.17696709179830433
f101_nyg-middle_DAYS_LAST_DUE_1ST_VERSION-m-app_DAYS_EMPLOYED_max-d-min,0.00558659217877095,0.05486791161617986,0.11649318324512703,0.17694768704007785
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_min,0.0012414649286157666,0.06666663067562947,0.10901186691283703,0.17691996251708225
f103_nyg-low_normal_AMT_CREDIT-m-app_AMT_INCOME_TOTAL_min,0.008069522036002483,0.0638935768466665,0.1049549151492548,0.17691801403192378
f101_nyg-low_normal_AMT_ANNUITY-d-app_AMT_ANNUITY_diff_mean,0.0006207324643078833,0.05999968261740319,0.11629265629497434,0.1769130713766854
f103_refused_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_std-d-mean,0.0111731843575419,0.05630180120715998,0.10942980232608765,0.17690478789078953
f404_AMT_RECIVABLE_diff_max-d-min,0.014276846679081317,0.061758404295667736,0.10086005256711711,0.17689530354186617
f104_active_AMT_APPLICATION-m-app_AMT_GOODS_PRICE_max,0.006828057107386716,0.04934466339367848,0.12067979641286945,0.17685251691393467
f511_DAYS_CREDIT_UPDATE_diff_max_std,0.00186219739292365,0.05443050981181255,0.12041221011078211,0.1767049173155183
f507_Active_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,0.03227808814400993,0.106635373354965,0.03778085852466902,0.17669432002364394
f502_DAYS_CREDIT_ENDDATE-m-app_DAYS_BIRTH_mean,0.0006207324643078833,0.062005137017976754,0.11406341293575493,0.17668928241803958
f507_Closed_DAYS_CREDIT-d-app_DAYS_REGISTRATION_min,0.009931719428926133,0.06568477237392446,0.1010185793899909,0.1766350711928415
f504_AMT_CREDIT_MAX_OVERDUE_diff_min,0.004965859714463066,0.061202026661154894,0.11040635916761384,0.1765742455432318
f506_AMT_CREDIT_MAX_OVERDUE_diff_min,0.004345127250155183,0.05898488593187846,0.1132205788561302,0.17655059203816384
f104_nyg-middle_AMT_CREDIT-m-app_AMT_CREDIT-d-app_AMT_INCOME_TOTAL_pctchange_max-d-min,0.006828057107386716,0.053530284246118186,0.11614304765999339,0.1765013890134983
f104_approved_AMT_CREDIT-m-app_AMT_CREDIT-d-app_AMT_INCOME_TOTAL_pctchange_max-d-min,0.008690254500310366,0.055464971244468295,0.11234601847551462,0.17650124422029329
f101_refused_NAME_PAYMENT_TYPE_XNA_sum,0.0031036623215394167,0.07984339170677651,0.09354575693057,0.17649281095888592
