index,split,gain
EXT_SOURCE_2,1250,95529.97308301926
EXT_SOURCE_3,1503,66151.43412065506
EXT_SOURCE_1,1159,36478.08309221268
AMT_GOODS_PRICE,1162,21216.249927043915
DAYS_BIRTH,1207,19791.484122276306
ORGANIZATION_TYPE,800,18062.913766860962
AMT_CREDIT,1280,17983.654066085815
DAYS_EMPLOYED,978,16493.783620357513
OCCUPATION_TYPE,486,15995.180735111237
AMT_ANNUITY,1278,14916.449563503265
DAYS_LAST_PHONE_CHANGE,1033,13741.190197467804
DAYS_ID_PUBLISH,991,10963.61225605011
DAYS_REGISTRATION,1037,10630.402478218079
NAME_EDUCATION_TYPE,151,10047.262013912201
CODE_GENDER,174,8960.479523181915
REGION_POPULATION_RELATIVE,772,8435.467642784119
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_mean_sum,331,7883.894058704376
OWN_CAR_AGE,477,7552.499575614929
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_mean_min,303,6535.279469490051
LIVINGAREA_AVG,647,6431.6180119514465
LIVINGAREA_MODE,646,6383.105536937714
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_mean_mean,319,6379.872262001038
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_mean_mean,315,6307.778748989105
REGION_RATING_CLIENT_W_CITY,293,6176.38019990921
TOTALAREA_MODE,615,6159.1941084861755
bureau_CREDIT_ACTIVE_AMT_CREDIT_SUM-Closed_mean,588,6078.127803325653
LIVINGAREA_MEDI,582,5909.852166175842
bureau_active_CREDIT_TYPE_AMT_CREDIT_SUM_DEBT-Credit-card_mean,486,5859.0938448905945
bureau_CREDIT_TYPE_AMT_CREDIT_SUM_DEBT-Credit-card_mean,469,5812.029902458191
AMT_INCOME_TOTAL,624,5778.768091678619
bureau_AMT_CREDIT_SUM_DEBT-currency-1-Credit-card_mean,437,5739.756908893585
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_mean_max,400,5568.315207004547
REGION_RATING_CLIENT,231,5565.691731452942
YEARS_BEGINEXPLUATATION_MODE,580,5558.264643192291
bureau_active_CREDIT_TYPE_DAYS_CREDIT_ENDDATE-Consumer-credit_sum,508,5497.804229259491
APARTMENTS_AVG,538,5426.21110868454
bureau_DAYS_CREDIT_ENDDATE-Active-Consumer-credit_mean,491,5415.715133666992
FLAG_DOCUMENT_3,193,5264.049508094788
bureau_AMT_CREDIT_SUM-Closed-Consumer-credit_sum,530,5151.572025775909
bureau_CREDIT_CURRENCY_DAYS_CREDIT-currency-1_mean,321,5133.992162704468
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_max_min,487,5106.781889915466
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_ENDDATE_max_min,506,5103.850750923157
bureau_AMT_CREDIT_SUM-Closed-Consumer-credit_mean,519,5056.967916965485
bureau_CREDIT_TYPE_DAYS_CREDIT_ENDDATE-Consumer-credit_sum,476,5035.24617099762
APARTMENTS_MEDI,534,5030.0426115989685
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_max_mean,387,4991.043842792511
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_std_min,528,4978.1005001068115
NAME_INCOME_TYPE,126,4935.12140417099
YEARS_BEGINEXPLUATATION_MEDI,516,4908.564794063568
bureau_active_CREDIT_TYPE_DAYS_CREDIT_ENDDATE-Consumer-credit_mean,432,4901.853484153748
APARTMENTS_MODE,509,4875.03750038147
bureau_DAYS_CREDIT_ENDDATE-Active-Consumer-credit_sum,463,4855.942784786224
bureau_CREDIT_TYPE_AMT_CREDIT_SUM-Consumer-credit_mean,500,4796.066459178925
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_min_sum,498,4731.972427845001
bureau_gby-SK_ID_CURR_DAYS_CREDIT_mean,298,4726.714825153351
bureau_AMT_CREDIT_SUM-Closed-currency-1_mean,478,4717.988950252533
bureau_CREDIT_TYPE_AMT_CREDIT_SUM_DEBT-Credit-card_sum,355,4702.8245458602905
bureau_DAYS_CREDIT_ENDDATE-currency-1-Consumer-credit_sum,457,4677.298830509186
bureau_CREDIT_ACTIVE_AMT_CREDIT_SUM-Closed_sum,455,4636.295243263245
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_ENDDATE_mean_min,347,4587.657190322876
YEARS_BEGINEXPLUATATION_AVG,480,4534.283439159393
bureau_CREDIT_TYPE_DAYS_CREDIT_ENDDATE-Consumer-credit_mean,446,4511.937909126282
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_max_mean,433,4500.162812709808
bureau_active_gby-SK_ID_CURR_DAYS_CREDIT_max,470,4458.792224884033
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_min_max,468,4455.593283176422
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_std_min,468,4448.809136867523
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_mean_std,469,4440.818901062012
LANDAREA_MODE,469,4440.44521188736
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_std_mean,471,4436.393794059753
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_std_min,472,4420.566346645355
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_max_std,473,4411.878379821777
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_ENDDATE_std_min,473,4308.150718688965
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_mean_max,234,4285.185056209564
bureau_active_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_max_min,435,4263.515428543091
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_max_sum,434,4255.982688903809
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_max_min,427,4252.19491147995
bureau_AMT_CREDIT_SUM-currency-1-Consumer-credit_sum,442,4242.375183582306
LANDAREA_AVG,454,4238.133635044098
bureau_gby-SK_ID_CURR_DAYS_CREDIT_max,413,4237.41899061203
bureau_active_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_max_sum,432,4228.493985176086
NAME_CONTRACT_TYPE,205,4228.474472522736
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_min_mean,452,4226.759572982788
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_std_max,436,4218.52402305603
BASEMENTAREA_AVG,458,4206.728271484375
