feature,split,gain
f101_approved_AMT_ANNUITY-d-app_AMT_ANNUITY_mean,32,1044.6284313201904
f001_REGION_POPULATION_RELATIVE,53,1032.1497130393982
f105_past_payment_sum_max-d-annuity,24,1026.2091999053955
f001_AMT_REQ_CREDIT_BUREAU_QRT,44,1024.6929006576538
f101_approved_amt_unpaid_var,22,996.5620975494385
f101_approved_DAYS_LAST_DUE-m-app_DAYS_BIRTH_max,19,988.9662561416626
f108_app_AMT_GOODS_PRICE,26,972.4032974243164
f001_DAYS_ID_PUBLISH,39,965.6038007736206
f001_REG_CITY_NOT_LIVE_CITY,36,927.3419990539551
f001_NAME_INCOME_TYPE,31,925.1433048248291
f101_completed_AMT_ANNUITY-d-app_AMT_ANNUITY_mean,31,911.7905969619751
f106_NAME_CONTRACT_STATUS-Refused_appref,25,908.5196075439453
f001_AMT_ANNUITY-d-cnt_adults,46,880.8206219375134
f101_nyg-middle_AMT_CREDIT-d-total_debt_min,33,871.0217046737671
f105_AMT_ANNUITY_cmp_sum,27,866.2164096832275
f001_TOTALAREA_MODE,37,841.4153504371643
f105_amt_paid-d-unpaid_mean,28,820.1135740280151
f101_approved_AMT_CREDIT-d-total_debt_max,34,812.8447064161301
f101_approved_DAYS_LAST_DUE-d-app_DAYS_BIRTH_min,35,809.7555785179138
f101_refused_AMT_GOODS_PRICE-d-total_debt_max,30,806.2424011230469
f101_approved_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_ID_PUBLISH_min,34,785.5069074630737
f001_building_score_medi_mean,34,783.5092206001282
f101_approved_DAYS_FIRST_DRAWING-d-app_DAYS_REGISTRATION_max,32,778.480535030365
f101_approved_DAYS_FIRST_DRAWING-d-app_DAYS_REGISTRATION_min,29,778.4117937088013
f101_approved_DAYS_LAST_DUE-d-app_DAYS_ID_PUBLISH_min,39,774.3685648441315
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY_max,24,759.6468704342842
f101_approved_APP_CREDIT_PERC_mean,23,756.3281965255737
f101_active_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_ID_PUBLISH_mean,26,728.5329093933105
f101_completed_AMT_ANNUITY-m-app_AMT_ANNUITY_max,21,704.957407951355
f110_AMT_GOODS_PRICE-d-total_debt_pct_change_median,35,688.888247013092
f001_OWN_CAR_AGE-m-DAYS_BIRTH,33,675.2493166923523
f001_AMT_ANNUITY,22,671.5448198318481
f101_active_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_LAST_PHONE_CHANGE_mean,26,667.052990436554
f001_REGION_RATING_CLIENT,18,667.0480966567993
f101_approved_AMT_CREDIT-d-total_debt_var,26,661.5605335235596
f101_completed_DAYS_LAST_DUE-d-app_DAYS_EMPLOYED_min,20,660.5293048396707
f101_nyg-high_AMT_GOODS_PRICE-d-AMT_CREDIT_min,26,658.7926416397095
f101_approved_DAYS_FIRST_DRAWING-d-app_DAYS_ID_PUBLISH_max,21,657.7291502952576
f101_approved_DAYS_TERMINATION-m-app_DAYS_BIRTH_max,21,651.5255241394043
f105_prevapp_future_payment_11m,17,647.883574962616
f101_nyg-high_AMT_GOODS_PRICE-d-AMT_CREDIT_mean,27,645.7462511062622
f101_nyg-middle_AMT_CREDIT-d-total_debt_mean,27,639.006224155426
f110_AMT_CREDIT-d-total_debt_pct_change_min,25,635.3153738975525
f110_AMT_GOODS_PRICE-d-total_debt_pct_change_mean,33,620.6297278404236
f101_refused_APP_CREDIT_PERC_min,16,616.7280015945435
f102_approved_AMT_GOODS_PRICE-d-total_debt_max,26,612.8072929382324
f001_building_score_mode_mean,25,606.8818550109863
f101_approved_DAYS_LAST_DUE_1ST_VERSION-m-app_DAYS_BIRTH_max,26,606.5487728118896
f101_approved_AMT_GOODS_PRICE-d-total_debt_min,22,602.0909557342529
f106_CODE_REJECT_REASON-SCOFR,18,598.8897943496704
f001_DAYS_LAST_PHONE_CHANGE-m-DAYS_BIRTH,30,595.0398502349854
f001_EXT_SOURCES_1-2-3,35,589.7262651920319
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_min,24,586.995002746582
f101_completed_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_mean,23,586.0004286766052
f101_active_AMT_CREDIT-d-total_debt_max,23,582.5036964416504
f101_approved_DAYS_TERMINATION-d-app_DAYS_ID_PUBLISH_min,30,577.7482333183289
f101_nyg-high_DAYS_DECISION_max,18,573.7292461395264
f105_total_debt_sum,19,567.3463187217712
f101_refused_AMT_CREDIT-d-total_debt_max,24,566.8823051452637
f108_AMT_GOODS_PRICE-d-total_debt,24,564.7425050735474
f101_completed_AMT_APPLICATION-m-app_AMT_ANNUITY_max,13,563.1137046813965
f101_approved_APP_CREDIT_PERC_max,20,561.8216905593872
f102_approved_DAYS_FIRST_DRAWING-m-app_DAYS_BIRTH_max,20,561.6531009674072
f001_alldocs_skew,16,561.5792961120605
f101_approved_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_BIRTH_min,25,557.1413192749023
f101_nyg-middle_AMT_GOODS_PRICE-d-total_debt_mean,23,554.4846591949463
f001_DAYS_REGISTRATION-m-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,31,529.0889313220978
f001_building_score_mode_sum,19,522.8153877258301
f101_approved_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_EMPLOYED_min,23,518.8065958023071
f001_YEARS_BEGINEXPLUATATION_AVG,28,518.2868728339672
f101_approved_DAYS_FIRST_DUE-d-app_DAYS_BIRTH_var,21,515.6814031600952
f001_EXT_SOURCES_1-3,25,515.0945463180542
f108_app_AMT_ANNUITY,21,513.7290000915527
f103_nyg-high_AMT_GOODS_PRICE-d-total_debt_min,9,512.3039960861206
f110_AMT_CREDIT-d-total_debt_pct_change_mean,27,510.261381149292
f001_AMT_REQ_CREDIT_BUREAU_YEAR,27,510.16236877441406
f101_approved_DAYS_FIRST_DUE-m-app_DAYS_BIRTH_max,13,509.2389965057373
f001_DAYS_ID_PUBLISH-d-DAYS_BIRTH,28,507.53599309921265
f101_completed_DAYS_FIRST_DUE-m-app_DAYS_BIRTH_max,13,505.3067979812622
f101_nyg-middle_AMT_GOODS_PRICE-d-total_debt_min,23,504.57343578338623
f101_approved_DAYS_TERMINATION-d-app_DAYS_EMPLOYED_min,22,501.0714807510376
f109_DAYS_LAST_DUE_1ST_VERSION-m-app_DAYS_BIRTH,27,498.0789113044739
f101_nyg-high_DAYS_DECISION_min,18,497.68331146240234
f101_completed_AMT_APPLICATION-d-app_AMT_CREDIT_max,15,495.8962547183037
f101_completed_AMT_APPLICATION-d-app_AMT_ANNUITY_mean,21,485.13934898376465
f105_prevapp_future_payment_28m,20,482.2899667620659
f001_AMT_ANNUITY-d-CNT_FAM_MEMBERS,28,482.269198179245
f001_DAYS_EMPLOYED-m-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,32,480.176221370697
f101_active_AMT_GOODS_PRICE-d-total_debt_max,20,479.48970127105713
f101_approved_AMT_GOODS_PRICE-d-total_debt_var,24,476.55600452423096
f101_approved_DAYS_FIRST_DUE-m-app_DAYS_BIRTH_var,19,474.9019820690155
f102_refused_DAYS_DECISION_var,20,471.30979919433594
f103_nyg-high_AMT_CREDIT-d-total_debt_min,10,469.82860946655273
f101_completed_DAYS_TERMINATION-d-app_DAYS_EMPLOYED_min,8,467.3593735694885
f108_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_EMPLOYED,23,465.65290689468384
f001_EXT_SOURCES_2-1-3,19,460.0383081436157
f109_AMT_GOODS_PRICE-d-total_debt,26,457.7026832103729
f105_cnt_paid-d-unpaid_mean,15,456.53450107574463
f101_completed_HOUR_APPR_PROCESS_START_mean,28,456.0256390571594
f101_refused_DAYS_DECISION_max,20,455.47270011901855
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,29,455.37233209609985
f101_active_AMT_GOODS_PRICE-d-AMT_CREDIT_min,19,454.17749881744385
f109_AMT_ANNUITY-m-app_AMT_ANNUITY,18,453.4846329689026
f102_approved_DAYS_FIRST_DRAWING-m-app_DAYS_EMPLOYED_max,12,450.7613983154297
f101_active_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_ID_PUBLISH_max,20,448.382559299469
f101_approved_amt_paid_mean,21,446.81160593032837
f101_approved_HOUR_APPR_PROCESS_START_max,23,446.7422971725464
f106_NAME_PAYMENT_TYPE-XNA_ref,17,446.6765031814575
f110_AMT_CREDIT-d-total_debt_pct_change_median,24,446.37390780448914
f109_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL,20,445.8841028213501
f101_approved_DAYS_LAST_DUE-d-app_DAYS_LAST_PHONE_CHANGE_min,18,441.0891351699829
f101_completed_AMT_ANNUITY-d-app_AMT_CREDIT_max,17,439.80409121513367
f101_approved_AMT_GOODS_PRICE-d-AMT_CREDIT_max,16,437.61159896850586
f101_approved_DAYS_FIRST_DRAWING-m-app_DAYS_BIRTH_mean,17,436.1087017059326
f101_completed_AMT_DOWN_PAYMENT_max,19,435.24178099632263
f101_approved_AMT_APPLICATION-d-app_AMT_ANNUITY_mean,15,435.1584424972534
f101_completed_AMT_ANNUITY_max,15,434.9892911911011
f001_DAYS_ID_PUBLISH-m-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,28,433.8995485305786
f101_completed_AMT_GOODS_PRICE-d-app_AMT_ANNUITY_max,10,432.8076009750366
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,31,431.7811315059662
f001_AMT_CREDIT-d-cnt_adults,27,430.6619178056717
f001_LIVINGAREA_AVG,22,427.4078187942505
f105_prevapp_future_payment_max-d-income,26,425.5272316932678
f108_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL,24,424.8221821784973
f001_DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,32,423.7450386285782
f101_approved_AMT_DOWN_PAYMENT_var,15,423.50069999694824
f106_NAME_PAYMENT_TYPE-Cash-through-the-bank_appref,20,422.50893998146057
f101_approved_AMT_CREDIT-d-total_debt_min,16,418.6529998779297
f101_completed_AMT_ANNUITY-d-app_AMT_CREDIT_mean,16,413.32272005081177
f109_app_AMT_GOODS_PRICE,13,413.2640047073364
f101_nyg-middle_AMT_GOODS_PRICE-d-total_debt_max,22,413.2613000869751
f101_nyg-low_normal_amt_paid_max,15,411.73839473724365
f105_prevapp_future_payment_19m,18,411.1438035964966
f109_DAYS_FIRST_DUE,27,408.71503829956055
f001_DAYS_REGISTRATION-m-DAYS_BIRTH-d-DAYS_ID_PUBLISH-m-DAYS_EMPLOYED,27,403.65810680389404
f110_DAYS_LAST_DUE_pct_change_min,20,403.61349964141846
f110_AMT_GOODS_PRICE-d-total_debt_pct_change_min,23,402.5455765724182
f101_completed_AMT_ANNUITY-m-app_AMT_GOODS_PRICE_min,16,402.0423536300659
f101_completed_AMT_CREDIT-d-app_AMT_ANNUITY_max,13,400.5529770851135
f101_approved_DAYS_FIRST_DUE-d-app_DAYS_ID_PUBLISH_min,22,400.5107054710388
f001_DAYS_REGISTRATION-m-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-m-DAYS_EMPLOYED,27,400.48627853393555
f001_DAYS_REGISTRATION-d-DAYS_EMPLOYED,26,400.0926704406738
f105_amt_unpaid_sum-p-app-d-income,17,399.22044563293457
f101_approved_DAYS_TERMINATION-d-app_DAYS_LAST_PHONE_CHANGE_min,22,397.39210987091064
f101_approved_DAYS_FIRST_DRAWING-m-app_DAYS_BIRTH_max,19,397.0644464492798
